                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.99547,                0.73016,                0.92204,                0.72421,                0.32835,                0.35913,                0.23928,                 1.3606,                 1.8345,                 1.1021,             0.00037138,             0.00037138,             0.00037138
                     73,                0.98634,                0.72857,                 0.9153,                0.65754,                0.36643,                0.36557,                0.24071,                 1.3767,                 1.8573,                 1.1091,               0.000359,               0.000359,               0.000359
                     74,                0.97552,                0.70415,                0.91225,                0.70433,                0.34794,                0.36524,                0.24832,                  1.357,                 1.8979,                 1.1086,             0.00034663,             0.00034663,             0.00034663
                     75,                0.96302,                0.69873,                0.90741,                0.69032,                0.34281,                0.35892,                0.24206,                 1.3721,                 1.9305,                 1.1256,             0.00033425,             0.00033425,             0.00033425
                     76,                0.95215,                0.69611,                0.90607,                0.71483,                0.32255,                0.34927,                0.23958,                 1.3526,                 1.8832,                 1.1073,             0.00032188,             0.00032188,             0.00032188
                     77,                0.94763,                0.69989,                0.90537,                0.68733,                0.33074,                0.35193,                 0.2398,                 1.3527,                 1.8905,                 1.1138,              0.0003095,              0.0003095,              0.0003095
                     78,                0.94954,                0.69235,                0.91528,                0.70572,                0.32443,                0.35449,                0.24195,                 1.3604,                 1.8787,                 1.1053,             0.00029713,             0.00029713,             0.00029713
                     79,                0.93186,                0.67272,                0.90528,                0.73741,                 0.3133,                0.35747,                  0.238,                 1.3556,                 1.8832,                 1.1061,             0.00028475,             0.00028475,             0.00028475
                     80,                0.93737,                0.67523,                0.89876,                0.71939,                0.33305,                 0.3604,                0.24206,                 1.3441,                 1.8984,                 1.1023,             0.00027237,             0.00027237,             0.00027237
                     81,                0.93238,                0.66884,                0.89612,                0.71792,                0.34927,                0.36032,                0.24149,                 1.3511,                 1.8896,                 1.1117,                0.00026,                0.00026,                0.00026
                     82,                0.92844,                0.67099,                0.89981,                0.67934,                0.35438,                0.36076,                0.24212,                 1.3385,                 1.9138,                 1.1075,             0.00024762,             0.00024762,             0.00024762
                     83,                0.92091,                0.65516,                0.90103,                0.71862,                 0.3321,                 0.3564,                0.24023,                 1.3474,                  1.847,                 1.1084,             0.00023525,             0.00023525,             0.00023525
                     84,                0.90408,                0.66323,                0.89884,                0.71372,                0.32353,                0.36257,                0.24181,                 1.3446,                 1.8163,                 1.1021,             0.00022288,             0.00022288,             0.00022288
                     85,                0.90443,                0.65429,                0.89296,                0.73868,                0.33757,                0.36398,                0.24202,                 1.3654,                 1.8685,                 1.1084,              0.0002105,              0.0002105,              0.0002105
                     86,                0.90638,                0.65907,                0.89196,                 0.7106,                0.34444,                0.36931,                0.24604,                 1.3448,                 1.8385,                 1.1043,             0.00019813,             0.00019813,             0.00019813
